,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
1335,Serbia,2023-07-14,30.1,18.8,24.4,SRB,Europe
1336,Belgium,2022-10-13,13.5,9.8,11.7,BEL,Europe
1337,Finland,2023-01-03,1.4,-3.3,-0.4,FIN,Europe
1338,Spain,2023-01-28,7.5,0.5,3.1,ESP,Europe
1339,Poland,2022-12-20,2.3,-0.6,1.5,POL,Europe
1340,Andorra,2023-08-14,24.5,12.6,17.8,AND,Europe
1341,Finland,2022-12-05,-2.6,-7.8,-5.8,FIN,Europe
1342,Netherlands,2022-11-08,15.1,11.2,13.0,NLD,Europe
1343,Kosovo,2023-04-01,15.5,7.2,10.8,,
1344,Greece,2022-12-03,15.9,11.4,13.1,GRC,Europe
1345,Slovenia,2023-03-12,9.2,0.3,4.3,SVN,Europe
1346,Slovenia,2023-06-23,29.8,17.2,22.3,SVN,Europe
1347,"Moldova, Republic of",2023-03-11,15.3,8.5,11.1,MDA,Europe
1348,France,2022-09-28,15.7,11.1,13.3,FRA,Europe
1349,Finland,2023-08-01,19.0,13.9,16.1,FIN,Europe
1350,Croatia,2023-08-20,31.4,19.6,25.4,HRV,Europe
1351,Estonia,2023-02-17,3.1,1.1,2.0,EST,Europe
1352,Austria,2022-12-22,7.8,0.0,3.9,AUT,Europe
1353,Hungary,2022-09-29,18.1,12.1,14.3,HUN,Europe
1354,Serbia,2023-03-18,14.9,3.6,8.8,SRB,Europe
1355,Denmark,2023-01-04,8.9,4.0,6.5,DNK,Europe
1356,Czechia,2022-10-19,13.3,7.2,11.3,CZE,Europe
1357,Albania,2023-09-13,32.2,16.8,23.4,ALB,Europe
1358,Monaco,2022-11-18,17.2,14.2,15.3,MCO,Europe
1359,Hungary,2023-08-13,30.2,18.6,24.1,HUN,Europe
1360,Norway,2022-10-03,1.6,0.1,0.8,NOR,Europe
1361,Serbia,2023-07-27,24.2,14.7,19.4,SRB,Europe
1362,"Moldova, Republic of",2023-04-24,18.0,7.8,12.7,MDA,Europe
1363,Finland,2023-04-10,6.2,-0.7,2.7,FIN,Europe
1364,Finland,2023-03-15,2.9,-1.2,0.9,FIN,Europe
1365,Monaco,2022-10-11,20.8,16.3,18.7,MCO,Europe
1366,Netherlands,2022-09-14,19.5,13.6,16.2,NLD,Europe
1367,Andorra,2023-01-25,-1.5,-10.4,-7.1,AND,Europe
1368,Monaco,2023-04-22,17.5,12.6,15.2,MCO,Europe
1369,Hungary,2023-03-19,14.1,4.3,9.3,HUN,Europe
1370,Monaco,2022-10-07,23.1,17.2,20.3,MCO,Europe
1371,Austria,2023-04-04,8.0,-0.7,3.3,AUT,Europe
1372,"Moldova, Republic of",2023-05-22,22.2,12.8,17.3,MDA,Europe
1373,Slovakia,2023-07-27,24.3,11.3,18.2,SVK,Europe
1374,Spain,2023-07-07,34.7,20.6,27.8,ESP,Europe
1375,Italy,2023-04-26,21.9,9.3,14.7,ITA,Europe
1376,Portugal,2023-09-03,21.8,16.2,18.7,PRT,Europe
1377,Austria,2022-10-29,19.2,11.8,14.7,AUT,Europe
1378,France,2023-01-27,4.3,1.8,3.0,FRA,Europe
1379,Denmark,2022-10-29,15.7,11.1,13.6,DNK,Europe
1380,Croatia,2023-01-23,3.3,-0.1,1.9,HRV,Europe
1381,Serbia,2023-01-03,13.6,5.9,9.2,SRB,Europe
1382,Czechia,2023-04-29,15.5,7.9,11.9,CZE,Europe
1383,France,2022-11-04,12.4,8.2,10.4,FRA,Europe
1384,Latvia,2022-09-17,15.0,8.9,11.9,LVA,Europe
1385,Kosovo,2023-08-01,32.7,15.5,23.9,,
